iter	Logloss
147	0.2688792851
148	0.2685023647
149	0.2682351681
150	0.2678593823
151	0.2675694519
152	0.2671629619
153	0.2668341145
154	0.2664838968
155	0.2661697144
156	0.2659287823
157	0.2651880597
158	0.2650334803
159	0.2646031867
160	0.2642684515
161	0.2639823838
162	0.2636193725
163	0.2632780409
164	0.2630491619
165	0.2627594597
166	0.262315958
167	0.2618838502
168	0.2615407276
169	0.2612360569
170	0.2608939092
171	0.2606451803
172	0.2604105968
173	0.2601797036
174	0.2598422673
175	0.2596017056
176	0.2592288119
177	0.2588970816
178	0.258610863
179	0.2583039004
180	0.2578399057
181	0.2573960367
182	0.257064539
183	0.2566896086
184	0.2563144361
185	0.2559389797
186	0.2556354933
187	0.2553773966
188	0.2551494727
189	0.2548019789
190	0.2542150954
191	0.2538877764
192	0.2535968902
193	0.2533104586
194	0.2528747273
195	0.2524265227
196	0.2522650694
197	0.2519345618
198	0.2516214113
199	0.2513473922
200	0.251067843
201	0.2507192025
202	0.2502931598
203	0.2497731304
204	0.2494973501
205	0.2491264882
206	0.2488021947
207	0.2485451163
208	0.2482484723
209	0.2480469197
210	0.2476510531
211	0.2472124735
212	0.246962417
213	0.2465487207
214	0.2462545495
215	0.2458637048
216	0.2455067839
217	0.2451872669
218	0.2448990508
219	0.2444658173
220	0.2441397455
221	0.2439530172
222	0.2437006016
223	0.2434585224
224	0.2430221217
225	0.2426734442
226	0.2424700187
227	0.2422484329
228	0.2418378474
229	0.2416027972
230	0.2414223453
231	0.2409304314
232	0.240672733
233	0.2402788648
234	0.2399700866
235	0.2396126526
236	0.2391671356
237	0.2387333436
238	0.2385458706
239	0.2382729422
240	0.2380833563
241	0.2377923497
242	0.2374552011
243	0.2369898352
244	0.2367422254
245	0.2365587856
246	0.2362574774
247	0.235955654
248	0.2356120094
249	0.2351175294
250	0.2349451054
251	0.2347433306
252	0.2343252173
253	0.2340463954
254	0.2338308471
255	0.2335079325
256	0.2331064355
257	0.2327137254
258	0.2323949477
259	0.2319983444
260	0.2317070406
261	0.2314457708
262	0.2310043407
263	0.2308315456
264	0.2305108011
265	0.230262438
266	0.2300173829
267	0.2296597197
268	0.2293776996
269	0.2291587849
270	0.2289277244
271	0.2286848465
272	0.2283387394
273	0.2280205017
274	0.2276500156
275	0.2274020628
276	0.2271100059
277	0.2268279585
278	0.2265827619
279	0.2263585397
280	0.226203007
281	0.2258711365
282	0.225578654
283	0.2252845375
284	0.2249165893
285	0.2246580352
286	0.2243879938
287	0.2241355946
288	0.2239229124
289	0.223653255
290	0.2233571359
291	0.2230828222
292	0.222805562
293	0.222646718
294	0.2223861033
295	0.2221462276
296	0.2218850849
297	0.2216247713
298	0.2213074785
299	0.2210689933
300	0.2208400703
301	0.220557731
302	0.2203379944
303	0.2200744346
304	0.2197804631
305	0.2195420305
306	0.2193234203
307	0.2190617953
308	0.2188238009
309	0.2186377155
310	0.2184227204
311	0.2181627418
312	0.2178332028
313	0.2174969474
314	0.2172629132
315	0.217036208
316	0.2166889386
317	0.2165001744
318	0.2162647614
319	0.2159393121
320	0.2157147662
321	0.2154632292
322	0.2152184355
323	0.2149971456
324	0.2147884703
325	0.2145278112
326	0.214338626
327	0.2141455869
328	0.2138879298
329	0.213659569
330	0.2134995655
331	0.2132939962
332	0.2130319416
333	0.2127325425
334	0.2124352639
335	0.2121225164
336	0.2117403482
337	0.2115147384
338	0.2113732199
339	0.211091246
340	0.2109639383
341	0.2106407677
342	0.2104450741
343	0.210236632
344	0.2100488456
345	0.2098475105
346	0.2095980154
347	0.2092973713
348	0.2090718256
349	0.2089237245
350	0.208700855
351	0.2084905279
352	0.2083072249
353	0.2080872142
354	0.2078069723
355	0.2075788263
356	0.2073908968
357	0.2071025846
358	0.206908577
359	0.2067146171
360	0.2064231959
361	0.2062286919
362	0.2060769446
363	0.2058539699
364	0.2055153916
365	0.2053503417
366	0.2050949948
367	0.2048599267
368	0.2045781995
369	0.2042972345
370	0.2040223547
371	0.2038899473
372	0.2036361499
373	0.2034216759
374	0.203134961
375	0.2028446474
376	0.2025585426
377	0.2022962893
378	0.2021710416
379	0.2020052643
380	0.2017803161
381	0.2015410639
382	0.2013204384
383	0.2010804458
384	0.2008999727
385	0.200678526
386	0.2004395597
387	0.2002001086
388	0.200008326
389	0.1997085207
390	0.199404517
391	0.1991851023
392	0.1989349301
393	0.198642957
394	0.1984603854
395	0.1982826371
396	0.1980135487
397	0.1977757684
398	0.1976537752
399	0.1974480655
