iter	Logloss
0	0.6493589318
1	0.6146972726
2	0.5833462349
3	0.5547465506
4	0.5310387602
5	0.5092424716
6	0.4930013324
7	0.4778580732
8	0.4644965695
9	0.4509668701
10	0.4356265214
11	0.4258310541
12	0.4147254007
13	0.4071164575
14	0.400954887
15	0.3929710687
16	0.3867479702
17	0.3816141292
18	0.3769190684
19	0.3719708538
20	0.3677269951
21	0.3640044424
22	0.36030839
23	0.3565400574
24	0.3539707798
25	0.351462216
26	0.3473888489
27	0.345230739
28	0.3431304838
29	0.3410506209
30	0.3387395173
31	0.3373027244
32	0.3359513916
33	0.3341465693
34	0.3328073456
35	0.3315257837
36	0.3297729254
37	0.3283308979
38	0.3265603649
39	0.3255661741
40	0.3245341106
41	0.322433853
42	0.3214948375
43	0.3205746886
44	0.3191885973
45	0.3182000695
46	0.3165971869
47	0.3158026991
48	0.3149867145
49	0.3143052541
50	0.3133890315
51	0.3126438439
52	0.3116643685
53	0.3105772891
54	0.3099660697
55	0.308884572
56	0.3080784776
57	0.3074557516
58	0.3068378017
59	0.3062445813
60	0.3056928881
61	0.3052256958
62	0.3047640469
63	0.3041439298
64	0.3035931118
65	0.303022001
66	0.3023534682
67	0.3018701145
68	0.30120905
69	0.3006751556
70	0.3001107227
71	0.2994703766
72	0.2990366171
73	0.29855519
74	0.2979666196
75	0.2971940275
76	0.2968104623
77	0.2964497111
78	0.2958609431
79	0.2952728828
80	0.2948324754
81	0.2942977475
82	0.2938778085
83	0.2934482006
84	0.2928186755
85	0.292730416
86	0.292350834
87	0.2920945632
88	0.2916784956
89	0.2911870009
90	0.2908457649
91	0.2904995003
92	0.2899607815
93	0.2895778548
94	0.2893409561
95	0.2889825065
96	0.2886368172
97	0.288166194
98	0.2877512478
99	0.2872862176
100	0.2868901818
101	0.286364339
102	0.2859510855
103	0.2856248148
104	0.2853462391
105	0.2850898524
106	0.2844663022
107	0.2842330839
108	0.2839081251
109	0.2835908228
110	0.2828959817
111	0.2825349162
112	0.2822176204
113	0.2818332484
114	0.2816076669
115	0.2812617149
116	0.280765407
117	0.2801134596
118	0.2796435644
119	0.2793780121
120	0.2789797845
121	0.2785531754
122	0.2780936918
123	0.2778576154
124	0.2774648344
125	0.2771340099
126	0.2767616871
127	0.276426795
128	0.2760084233
129	0.2755349969
130	0.2753533222
131	0.2749930708
132	0.2746705837
133	0.2742164247
134	0.273725166
135	0.2733903399
136	0.2730503506
137	0.2727318262
138	0.2722272333
139	0.272103958
140	0.2714499046
141	0.2710883048
142	0.2705628524
143	0.2703288811
144	0.2700379254
145	0.2697095377
146	0.2693596488
